id,name,sort_number,year
273,autumn,208,1968
274,winter,209,1969
275,spring,210,1969
276,summer,211,1969
277,autumn,212,1969
278,winter,213,1970
279,spring,214,1970
280,summer,215,1970
281,autumn,216,1970
282,winter,217,1971
283,spring,218,1971
284,summer,219,1971
285,autumn,220,1971
286,winter,221,1972
287,spring,222,1972
288,summer,223,1972
289,autumn,224,1972
290,winter,225,1973
291,spring,226,1973
292,summer,227,1973
293,autumn,228,1973
294,winter,229,1974
295,spring,230,1974
296,summer,231,1974
297,autumn,232,1974
298,winter,233,1975
299,spring,234,1975
300,summer,235,1975
301,autumn,236,1975
302,winter,237,1976
303,spring,238,1976
304,summer,239,1976
305,autumn,240,1976
306,winter,241,1977
307,spring,242,1977
308,summer,243,1977
309,autumn,244,1977
310,winter,245,1978
311,spring,246,1978
312,summer,247,1978
313,autumn,248,1978
314,winter,249,1979
315,spring,250,1979
316,summer,251,1979
317,autumn,252,1979
318,winter,253,1980
319,spring,254,1980
320,summer,255,1980
321,autumn,256,1980
322,winter,257,1981
323,spring,258,1981
324,summer,259,1981
325,autumn,260,1981
326,winter,261,1982
327,spring,262,1982
328,summer,263,1982
329,autumn,264,1982
330,winter,265,1983
331,spring,266,1983
332,summer,267,1983
333,autumn,268,1983
334,winter,269,1984
335,spring,270,1984
336,summer,271,1984
337,autumn,272,1984
338,winter,273,1985
339,spring,274,1985
340,summer,275,1985
341,autumn,276,1985
342,winter,277,1986
343,spring,278,1986
344,summer,279,1986
345,autumn,280,1986
346,winter,281,1987
347,spring,282,1987
348,summer,283,1987
349,autumn,284,1987
350,winter,285,1988
351,spring,286,1988
352,summer,287,1988
353,autumn,288,1988
354,winter,289,1989
355,spring,290,1989
356,summer,291,1989
357,autumn,292,1989
358,winter,293,1990
359,spring,294,1990
360,summer,295,1990
361,autumn,296,1990
362,winter,297,1991
363,spring,298,1991
364,summer,299,1991
365,autumn,300,1991
366,winter,301,1992
367,spring,302,1992
368,summer,303,1992
369,autumn,304,1992
370,winter,305,1993
371,spring,306,1993
372,summer,307,1993
373,autumn,308,1993
374,winter,309,1994
375,spring,310,1994
376,summer,311,1994
377,autumn,312,1994
378,winter,313,1995
379,spring,314,1995
380,summer,315,1995
381,autumn,316,1995
382,winter,317,1996
383,spring,318,1996
384,summer,319,1996
385,autumn,320,1996
386,winter,321,1997
387,spring,322,1997
388,summer,323,1997
389,autumn,324,1997
390,winter,325,1998
391,spring,326,1998
392,summer,327,1998
393,autumn,328,1998
394,winter,329,1999
395,spring,330,1999
396,summer,331,1999
397,autumn,332,1999
398,spring,398,2016
399,summer,399,2016
400,autumn,400,2016
401,winter,401,2017
402,spring,402,2017
403,summer,403,2017
404,autumn,404,2017
