"id","channel_group_id","sc_chid","name","created_at","updated_at","vod","aasm_state","sort_number","deleted_at","name_alter","unpublished_at"
72,1,72,"群馬テレビ","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
74,5,74,"奈良テレビ","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
76,2,76,"WOWOWシネマ","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
77,10,77,"東海テレビ","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
11,2,11,"NHK-BShi","2014-07-06 13:46:41+00","2014-07-06 13:46:41+00",FALSE,"published",0,"2021-03-12 12:54:00","",
50,2,50,"BSQR 489","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,"2021-03-12 12:54:00","",
51,2,51,"LFX488","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,"2021-03-12 12:54:00","",
80,10,80,"中京テレビ","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
82,10,82,"三重テレビ","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
83,10,83,"ぎふチャン","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
84,3,84,"sky・A","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
86,5,86,"テレビ和歌山","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
87,5,87,"ＢＢＣびわ湖放送","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
58,5,58,"サンテレビ","2014-07-06 13:46:42+00","2019-03-23 11:42:13.235936+00",FALSE,"published",0,,"",
89,15,89,"HBC北海道放送","2014-07-06 13:46:42+00","2019-12-28 07:45:10.465819+00",FALSE,"published",0,,"",
90,15,90,"テレビ北海道","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
91,15,91,"北海道文化放送","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
92,15,92,"札幌テレビ放送","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
93,16,93,"TVQ九州放送","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
94,16,94,"RKB毎日放送","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
95,11,95,"テレビせとうち","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
96,16,96,"福岡放送","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
97,2,97,"WOWOWライブ","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
99,11,99,"広島ホームテレビ","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
100,1,100,"とちぎテレビ","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
103,11,103,"広島テレビ","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
104,11,104,"岡山放送","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
109,3,109,"フジテレビONE","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
111,18,111,"テレビ信州","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
112,3,112,"330ch WOWOW","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
